tds,building,boroughs,house,street,address,city,state,zipcode,bin,block,lot,boroughblocklot,censustrack,neighborhood,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
180,1,BRONX,1010,"EAST 178TH STREET","1010 EAST 178TH STREET",BRONX,NY,10460,2013245,3130,100,2031300100,361,"East Tremont",40.843226,-73.884772,0.87,street_center,,"E 178th St",,,Bronx,NY,"Bronx County",10460,US,"TIGER/Line® dataset from the US Census Bureau"
242,1,BROOKLYN,104,"TAPSCOTT STREET","104 TAPSCOTT STREET",BROOKLYN,NY,11212,3081191,3532,30,3035320030,900,Brownsville,40.664828,-73.920441,1,street_center,,"Tapscott St",,,Brooklyn,NY,"Kings County",11212,US,"TIGER/Line® dataset from the US Census Bureau"
233,1,BRONX,1162,"WASHINGTON AVENUE","1162 WASHINGTON AVENUE",BRONX,NY,10456,2001312,2372,1,2023720001,145,Claremont-Bathgate,40.829539,-73.908097,1,street_center,,"Washington Ave",,,Bronx,NY,"Bronx County",10456,US,"TIGER/Line® dataset from the US Census Bureau"
154,1,MANHATTAN,131,"SAINT NICHOLAS AVENUE","131 SAINT NICHOLAS AVENUE","NEW YORK",NY,10026,1058378,1922,41,1019220041,218,"Central Harlem South",40.801114,-73.952376,1,street_center,,"St Nicholas Ave",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
214,1,BRONX,1471,"WATSON AVENUE","1471 WATSON AVENUE",BRONX,NY,10472,2023748,3737,1,2037370001,52,Soundview-Bruckner,40.827086,-73.869735,1,street_center,,"Watson Ave",,,Bronx,NY,"Bronx County",10472,US,"TIGER/Line® dataset from the US Census Bureau"
359,1,MANHATTAN,154,"WEST 84TH STREET","154 WEST 84TH STREET","NEW YORK",NY,10024,1084672,1214,55,1012140055,169,"Upper West Side",40.786839,-73.976512,1,street_center,,"W 84th St",,,"New York",NY,"New York County",10024,US,"TIGER/Line® dataset from the US Census Bureau"
156,1,BROOKLYN,303,"VERNON AVENUE","303 VERNON AVENUE",BROOKLYN,NY,11206,3042881,1585,1,3015850001,283,"Stuyvesant Heights",40.6956,-73.942337,1,street_center,,"Vernon Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
265,1,MANHATTAN,45,"ALLEN STREET","45 ALLEN STREET","NEW YORK",NY,10002,1075792,307,1,1003070001,16,Chinatown,40.717934,-73.991393,1,street_center,,"Allen St",,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
150,1,MANHATTAN,830,"AMSTERDAM AVENUE","830 AMSTERDAM AVENUE","NEW YORK",NY,10025,1056483,1872,29,1018720029,187,"Upper West Side",40.800171,-73.96615,1,street_center,,"Amsterdam Ave",,,"New York",NY,"New York County",10025,US,"TIGER/Line® dataset from the US Census Bureau"
118,1,BRONX,745,"EAST 152ND STREET","745 EAST 152ND STREET",BRONX,NY,10455,2091979,2654,2,2026540002,79,"Melrose South-Mott Haven North",40.815793,-73.907769,0.87,street_center,,"E 152nd St",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
118,2,BRONX,700,"WESTCHESTER AVENUE","700 WESTCHESTER AVENUE",BRONX,NY,10455,2091976,2654,2,2026540002,79,"Melrose South-Mott Haven North",40.816088,-73.909616,1,street_center,,"Westchester Ave",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
118,3,BRONX,720,"WESTCHESTER AVENUE","720 WESTCHESTER AVENUE",BRONX,NY,10455,2091977,2654,2,2026540002,79,"Melrose South-Mott Haven North",40.816088,-73.909616,1,street_center,,"Westchester Ave",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
118,4,BRONX,721,"TINTON AVENUE","721 TINTON AVENUE",BRONX,NY,10455,2091978,2654,2,2026540002,79,"Melrose South-Mott Haven North",40.814031,-73.90605,1,street_center,,"Tinton Ave",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
118,5,BRONX,710,"TINTON AVENUE","710 TINTON AVENUE",BRONX,NY,10455,2091988,2665,1,2026650001,79,"Melrose South-Mott Haven North",40.814031,-73.90605,1,street_center,,"Tinton Ave",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
