Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
11869420,SAN ANTONIO POLICE DEPARTMENT,SAPD11021517,BEXAR,2011-01-25,1,29.57425821,-98.37751546,1,4 - PEDESTRIAN
12576456,SAN ANTONIO POLICE DEPARTMENT,SAPD11024102,BEXAR,2011-01-28,1,29.42793814,-98.52460779,1,4 - PEDESTRIAN
11877635,SAN ANTONIO POLICE DEPARTMENT,SAPD11025380,BEXAR,2011-01-30,1,29.51423897,-98.57044718,1,4 - PEDESTRIAN
11931809,SAN ANTONIO POLICE DEPARTMENT,SAPD11047525,BEXAR,2011-02-24,1,29.44446497,-98.47626232,1,4 - PEDESTRIAN
11996687,SAN ANTONIO POLICE DEPARTMENT,SAPD11087274,BEXAR,2011-04-09,1,29.58289257,-98.34581927,1,4 - PEDESTRIAN
12265551,SAN ANTONIO POLICE DEPARTMENT,SAPD11106504,BEXAR,2011-04-30,1,29.45781892,-98.62612198,1,4 - PEDESTRIAN
12842035,UNIVERSAL CITY POLICE DEPARTMENT,1100008014,BEXAR,2011-05-07,1,29.54925199,-98.27755834,1,4 - PEDESTRIAN
12213227,SAN ANTONIO POLICE DEPARTMENT,SAPD11124984,BEXAR,2011-05-20,1,29.36811,-98.53404231,1,4 - PEDESTRIAN
12265553,SAN ANTONIO POLICE DEPARTMENT,SAPD11130164,BEXAR,2011-05-25,1,29.35120191,-98.4812487,1,4 - PEDESTRIAN
12099280,SAN ANTONIO POLICE DEPARTMENT,SAPD11139544,BEXAR,2011-06-04,1,29.4755439,-98.58264787,1,4 - PEDESTRIAN
12213229,SAN ANTONIO POLICE DEPARTMENT,SAPD11141323,BEXAR,2011-06-06,1,29.42700497,-98.44917355,1,4 - PEDESTRIAN
12259367,SAN ANTONIO POLICE DEPARTMENT,SAPD11152995SAPD-201,BEXAR,2011-06-18,1,29.43563022,-98.71051697,1,4 - PEDESTRIAN
12144317,SAN ANTONIO POLICE DEPARTMENT,SAPD11155847,BEXAR,2011-06-21,1,29.52406947,-98.48167565,1,4 - PEDESTRIAN
12265559,SAN ANTONIO POLICE DEPARTMENT,SAPD11155906,BEXAR,2011-06-21,1,29.37554861,-98.63885793,1,4 - PEDESTRIAN
12155054,SAN ANTONIO POLICE DEPARTMENT,SAPD11164346,BEXAR,2011-06-30,1,29.29006195,-98.64185728,1,4 - PEDESTRIAN
12155058,SAN ANTONIO POLICE DEPARTMENT,SAPD11167811,BEXAR,2011-07-04,1,No Data,No Data,1,4 - PEDESTRIAN
12385567,SAN ANTONIO POLICE DEPARTMENT,SAPD11171119,BEXAR,2011-07-08,1,No Data,No Data,1,4 - PEDESTRIAN
12186042,SAN ANTONIO POLICE DEPARTMENT,SAPD-2011-0746281SAP,BEXAR,2011-07-16,1,29.43479243,-98.47777995,1,4 - PEDESTRIAN
12563434,SAN ANTONIO POLICE DEPARTMENT,11181089,BEXAR,2011-07-19,1,29.41069122,-98.49938089,1,4 - PEDESTRIAN
12443889,SAN ANTONIO POLICE DEPARTMENT,SAPD11234546,BEXAR,2011-09-14,1,29.40630137,-98.57325336,1,4 - PEDESTRIAN
12588282,SAN ANTONIO POLICE DEPARTMENT,SAPD11236423,BEXAR,2011-09-17,1,29.56968847,-98.59298671,1,4 - PEDESTRIAN
13486933,BEXAR COUNTY LAW ENFORCEMENT,2011BCSO039366,BEXAR,2011-09-30,1,29.24949906,-98.74875707,1,4 - PEDESTRIAN
12309674,SAN ANTONIO POLICE DEPARTMENT,SAPD11252928,BEXAR,2011-10-05,1,29.48408496,-98.39926317,1,4 - PEDESTRIAN
12367981,BEXAR COUNTY LAW ENFORCEMENT,2011-039893,BEXAR,2011-10-05,1,29.2667753,-98.30512348,1,4 - PEDESTRIAN
12309675,SAN ANTONIO POLICE DEPARTMENT,SAPD11253118,BEXAR,2011-10-06,1,29.40274753,-98.62671121,1,4 - PEDESTRIAN
12729484,SAN ANTONIO POLICE DEPARTMENT,SAPD11260871,BEXAR,2011-10-15,1,29.50078559,-98.39973647,1,4 - PEDESTRIAN
12346891,SAN ANTONIO POLICE DEPARTMENT,SAPD11270300,BEXAR,2011-10-26,1,29.40937899,-98.5567723,1,4 - PEDESTRIAN
12346892,SAN ANTONIO POLICE DEPARTMENT,SAPD11271202,BEXAR,2011-10-27,1,29.41780497,-98.50432231,1,4 - PEDESTRIAN
12357904,SAN ANTONIO POLICE DEPARTMENT,SAPD11274539,BEXAR,2011-10-31,1,29.43193565,-98.50096593,1,4 - PEDESTRIAN
12379154,SAN ANTONIO POLICE DEPARTMENT,SAPD11290631,BEXAR,2011-11-20,1,29.47530042,-98.58228369,1,4 - PEDESTRIAN
12423989,SAN ANTONIO POLICE DEPARTMENT,SAPD11303167,BEXAR,2011-12-07,1,29.37469444,-98.41989096,1,4 - PEDESTRIAN
12413583,SAN ANTONIO POLICE DEPARTMENT,SAPD11307442,BEXAR,2011-12-12,1,29.39735934,-98.64924184,1,4 - PEDESTRIAN
12416441,SAN ANTONIO POLICE DEPARTMENT,SAPD11306968,BEXAR,2011-12-12,1,29.45528791,-98.53920275,1,4 - PEDESTRIAN
12501522,SAN ANTONIO POLICE DEPARTMENT,SAPD11312935,BEXAR,2011-12-19,1,29.52404728,-98.60000344,1,4 - PEDESTRIAN
12440428,SAN ANTONIO POLICE DEPARTMENT,SAPD11317175,BEXAR,2011-12-26,1,29.42284645,-98.50159039,1,4 - PEDESTRIAN
12468760,SAN ANTONIO POLICE DEPARTMENT,sapd12001606,BEXAR,2012-01-03,1,No Data,No Data,1,4 - PEDESTRIAN
12483790,SAN ANTONIO POLICE DEPARTMENT,SAPD12002123,BEXAR,2012-01-03,1,29.31515085,-98.47563001,1,4 - PEDESTRIAN
12516477,SAN ANTONIO POLICE DEPARTMENT,12-013745,BEXAR,2012-01-18,1,29.44849497,-98.58541627,1,4 - PEDESTRIAN
12497361,SAN ANTONIO POLICE DEPARTMENT,SAPD12015900,BEXAR,2012-01-21,1,29.5102986,-98.38507461,1,4 - PEDESTRIAN
