"TDS #","BUILDING #",BOROUGH,"HOUSE #",STREET,ADDRESS,CITY,STATE,"ZIP CODE",BIN,BLOCK,LOT,"BOROUGH/BLOCK/LOT #","CENSUS TRACT (2010)","NEIGHBORHOOD TABULATION AREA CODE","NEIGHBORHOOD TABULATION AREA NAME","COMMUNITY DISTRICT","CITY COUNCIL DISTRICT","STATE ASSEMBLY DISTRICT","STATE SENATE DISTRICT","US CONGRESSIONAL DISTRICT",LATITUDE,LONGITUDE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
21,24,BROOKLYN,123,"NOSTRAND AVENUE","123 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324243,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.695823533739,-73.951494979925,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,24,BROOKLYN,125,"NOSTRAND AVENUE","125 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324243,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.695785431969,-73.95177957227,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,25,BROOKLYN,101,"NOSTRAND AVENUE","101 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324241,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.696459460725,-73.952164710204,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,25,BROOKLYN,103,"NOSTRAND AVENUE","103 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324241,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.696495022894,-73.951896856309,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,25,BROOKLYN,105,"NOSTRAND AVENUE","105 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324241,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.69630899396,-73.951853468301,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,26,BROOKLYN,562,"PARK AVENUE","562 PARK AVENUE",BROOKLYN,NY,11206,3324236,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.696767545349,-73.952476393694,40.697857,-73.946077,1,street_center,,"Park Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,26,BROOKLYN,564,"PARK AVENUE","564 PARK AVENUE",BROOKLYN,NY,11206,3324236,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.696968863875,-73.952524236924,40.697857,-73.946077,1,street_center,,"Park Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,26,BROOKLYN,566,"PARK AVENUE","566 PARK AVENUE",BROOKLYN,NY,11206,3324236,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.697001886296,-73.952275355025,40.697857,-73.946077,1,street_center,,"Park Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,27,BROOKLYN,111,"NOSTRAND AVENUE","111 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324242,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.696107735028,-73.952321285975,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
21,27,BROOKLYN,113,"NOSTRAND AVENUE","113 NOSTRAND AVENUE",BROOKLYN,NY,11206,3324242,1738,1,3017380001,255,BK75,Bedford,3,36,56,18,7,40.695883480732,-73.952267880687,40.698327,-73.953052,1,street_center,,"Nostrand Ave",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
